opstina_cyr,rb_xlsx,json_number,status,distance_m,name_similarity,match_mode,xlsx_name,xlsx_address,xlsx_lat,xlsx_lon,xlsx_coord_format,xlsx_gmaps_url,json_id,json_name,json_lat,json_lon,note
ЈАГОДИНА - ГРАД,1,1,json_only_geo,,1.0,rb_and_name,ОСНОВНА ШКОЛА,ЛОВЦИ,,,empty,,8221,1. ОСНОВНА ШКОЛА - ЛОВЦИ,44.0659821,21.1359551,
ЈАГОДИНА - ГРАД,2,2,json_only_geo,,1.0,rb_and_name,МЕСНА ЗАЈЕДНИЦА,ВОЉАВЧЕ 1,,,empty,,6271,2. МЕСНА ЗАЈЕДНИЦА - ВОЉАВЧЕ ,43.9891171,21.2254489,
ЈАГОДИНА - ГРАД,3,3,json_only_geo,,1.0,rb_and_name,ОСНОВНА ШКОЛА,ВОЉАВЧЕ 2,,,empty,,2305,3. ОСНОВНА ШКОЛА - ВОЉАВЧЕ ,43.9891171,21.2254489,
ЈАГОДИНА - ГРАД,4,4,json_only_geo,,1.0,rb_and_name,ОСНОВНА ШКОЛА,ЛОЗОВИК,,,empty,,7386,4. ОСНОВНА ШКОЛА - ЛОЗОВИК,43.9593221,21.1376155,
ЈАГОДИНА - ГРАД,5,5,json_only_geo,,1.0,rb_and_name,МЕСНА ЗАЈЕДНИЦА,МЕЂУРЕЧ,,,empty,,3451,5. МЕСНА ЗАЈЕДНИЦА - МЕЂУРЕЧ,43.9592564,21.1801184,
ЈАГОДИНА - ГРАД,6,6,json_only_geo,,1.0,rb_and_name,ДОМ КУЛТУРЕ,МИШЕВИЋ,,,empty,,7529,6. ДОМ КУЛТУРЕ - МИШЕВИЋ,43.9696497,21.1090983,
ЈАГОДИНА - ГРАД,7,7,json_only_geo,,1.0,rb_and_name,ДОМ КУЛТУРЕ,РИБАРЕ 1,,,empty,,3883,7. ДОМ КУЛТУРЕ - РИБАРЕ ,44.0422625,21.3099817,
ЈАГОДИНА - ГРАД,8,8,json_only_geo,,1.0,rb_and_name,ОСНОВНА ШКОЛА,РИБАРЕ 2,,,empty,,57,8. ОСНОВНА ШКОЛА - РИБАРЕ ,44.0422625,21.3099817,
ЈАГОДИНА - ГРАД,9,9,json_only_geo,,1.0,rb_and_name,ОСНОВНА ШКОЛА,РИБАРЕ 3,,,empty,,7010,9. ОСНОВНА ШКОЛА - РИБАРЕ,44.0422625,21.3099817,
ЈАГОДИНА - ГРАД,10,10,json_only_geo,,1.0,rb_and_name,ДОМ КУЛТУРЕ,ГЛОГОВАЦ 1,,,empty,,5822,10. ДОМ КУЛТУРЕ - ГЛОГОВАЦ ,44.0420574,21.3141698,
ЈАГОДИНА - ГРАД,11,11,json_only_geo,,1.0,rb_and_name,ДОМ КУЛТУРЕ,ГЛОГОВАЦ 2,,,empty,,2074,11. ДОМ КУЛТУРЕ - ГЛОГОВАЦ ,44.0420574,21.3141698,
ЈАГОДИНА - ГРАД,12,12,json_only_geo,,1.0,rb_and_name,ДОМ КУЛТУРЕ,ДРАЖМИРОВАЦ,,,empty,,2830,12. ДОМ КУЛТУРЕ - ДРАЖМИРОВАЦ,44.0552105,21.3475824,
ЈАГОДИНА - ГРАД,13,13,json_only_geo,,1.0,rb_and_name,ОСНОВНА ШКОЛА,ДУБОКА,,,empty,,2157,13. ОСНОВНА ШКОЛА - ДУБОКА,44.1047566,21.2907002,
ЈАГОДИНА - ГРАД,14,14,json_only_geo,,1.0,rb_and_name,ОСНОВНА ШКОЛА,ДОБРА ВОДА,,,empty,,3222,14. ОСНОВНА ШКОЛА - ДОБРА ВОДА,44.1051872,21.2903831,
ЈАГОДИНА - ГРАД,15,15,json_only_geo,,1.0,rb_and_name,ДОМ КУЛТУРЕ,РАЈКИНАЦ,,,empty,,3589,15. ДОМ КУЛТУРЕ - РАЈКИНАЦ,44.0719732,21.2439141,
ЈАГОДИНА - ГРАД,16,16,json_only_geo,,1.0,rb_and_name,МЕСНА ЗАЈЕДНИЦА,МАЛИ ПОПОВИЋ,,,empty,,3885,16. МЕСНА ЗАЈЕДНИЦА - МАЛИ ПОПОВИЋ,44.0526829,21.2947678,
ЈАГОДИНА - ГРАД,17,17,json_only_geo,,1.0,rb_and_name,МЕСНА ЗАЈЕДНИЦА,МАЈУР 1,,,empty,,2212,17. МЕСНА ЗАЈЕДНИЦА - МАЈУР ,43.9437424,21.2957467,
ЈАГОДИНА - ГРАД,18,18,json_only_geo,,1.0,rb_and_name,ОСНОВНА ШКОЛА,МАЈУР 2,,,empty,,2314,18. ОСНОВНА ШКОЛА - МАЈУР ,43.9437424,21.2957467,
ЈАГОДИНА - ГРАД,19,19,json_only_geo,,1.0,rb_and_name,МЕСНА ЗАЈЕДНИЦА,МАЈУР 3,,,empty,,6127,19. МЕСНА ЗАЈЕДНИЦА  - МАЈУР,43.9437424,21.2957467,
ЈАГОДИНА - ГРАД,20,20,json_only_geo,,1.0,rb_and_name,ОСНОВНА ШКОЛА,КОНЧАРЕВО 1,,,empty,,2932,20. ОСНОВНА ШКОЛА - КОНЧАРЕВО ,43.9755013,21.3164156,
ЈАГОДИНА - ГРАД,21,21,json_only_geo,,1.0,rb_and_name,ОСНОВНА ШКОЛА,КОНЧАРЕВО 2,,,empty,,5469,21. ОСНОВНА ШКОЛА - КОНЧАРЕВО ,43.9755013,21.3164156,
ЈАГОДИНА - ГРАД,22,22,json_only_geo,,1.0,rb_and_name,ОСНОВНА ШКОЛА,КОНЧАРЕВО 3,,,empty,,4667,22. ОСНОВНА ШКОЛА  - КОНЧАРЕВО ,43.9755013,21.3164156,
ЈАГОДИНА - ГРАД,23,23,json_only_geo,,1.0,rb_and_name,ОСНОВНА ШКОЛА,РАКИТОВО 1,,,empty,,6082,23. ОСНОВНА ШКОЛА - РАКИТОВО ,43.9896412,21.2937205,
ЈАГОДИНА - ГРАД,24,24,json_only_geo,,1.0,rb_and_name,ОСНОВНА ШКОЛА,РАКИТОВО 2,,,empty,,6952,24. ОСНОВНА ШКОЛА - РАКИТОВО,43.9896412,21.2937205,
